x1,x2,classification,target
0.6725182692833045,0.2073925719695756,1,1
0.6646579964395792,0.21923151183014866,1,1
0.6202820242161606,0.23389416190034262,1,1
0.5760276214087126,0.24576228771134798,1,1
0.5359236859709245,0.2239337260068184,1,1
0.5367932461182436,0.2101965646416614,1,1
0.580043866348457,0.22110355514451097,1,1
0.544575725838261,0.25088420376797105,1,1
0.5542234131716235,0.2904777307015231,1,1
0.18776106012189273,0.2904777307015231,0,1
0.14197739393769104,0.24565927508330743,0,1
0.17517759560235432,0.2876422596154099,0,0
0.44614812883448757,0.2876422596154099,1,0
0.46595043188254354,0.2747632833332848,1,0
0.17138070236503206,0.2747632833332848,0,0
0.18370098846116123,0.27801136843661717,0,0
0.4268378745864218,0.27801136843661717,1,1
0.44523409393818003,0.29880176759493554,1,1
0.4816071625464434,0.2677045014617636,1,1
0.5254999591910224,0.3068345406013595,1,1
0.556028494142095,0.3430054922752616,1,1
0.5253909554395177,0.31999685204558564,1,1
0.2024415142093242,0.31999685204558564,0,1
0.21972307016981518,0.2810726824380426,0,1
0.19099356925633243,0.3108031438307208,0,0
0.15426306874706908,0.3451141264537087,0,0
0.5086055770179221,0.3451141264537087,1,0
0.5115880187850943,0.2958627970336663,1,0
0.4852643310009423,0.25372218724378304,1,1
0.5295187541029893,0.2956066119024872,1,1
0.5704661451822839,0.2585022748691526,1,1
0.5459165299538963,0.26710598515029554,1,1
0.5810370338318331,0.24366572337951806,1,1
0.14367007315935024,0.24366572337951806,0,1
0.1721562204562589,0.21804739555580843,0,1
0.20659947926692268,0.2482713139669297,0,0
0.20704253767582922,0.24728296122652083,0,0
0.2546215572004692,0.27660776915210245,0,0
0.2712263948778774,0.2438467241754051,1,0
0.28594268371153975,0.2589881212775631,1,0
0.2645759184289561,0.265185386271717,0,0
0.2453970204241373,0.25757262715036905,0,0
0.2281739562364049,0.21980060741808535,0,0
0.23894659494467968,0.19523662486200616,1,0
0.2717823756141735,0.19133865784643822,1,0
0.2699642312116206,0.15054536421640033,1,1
0.22033676981840733,0.19484019492459584,1,1
0.23076733192735066,0.17337778097450723,1,1
0.18192210383970436,0.19279625117378693,0,1
0.21063765147742552,0.18758236061491793,1,1
0.21377564858338283,0.23203309656638876,0,1
