0,1,classification,target
0.8352537447881112,0.3436624669093171,0,0
0.583361097607812,0.3436624669093171,1,0
0.5820146898922957,0.35968701274802334,1,1
0.5721843053702247,0.37130522076103595,1,1
0.6176066096651198,0.419308772500609,1,1
0.6105498074180252,0.41973258252490975,1,1
0.5858860323287545,0.39094079342772636,1,1
0.8202487850824725,0.39094079342772636,0,1
0.8678324017342043,0.4257452052499817,0,1
0.9016602305684899,0.39355655593668476,0,0
0.908967854821826,0.3822545350744192,0,0
0.900477523172456,0.41105843896864686,0,0
0.9237290968134334,0.4532205324592291,0,0
0.9036383600980874,0.47011949974342016,0,0
0.8801356279709505,0.5010622957585824,0,0
0.8480761628947834,0.46192935584393424,0,0
0.8488197817242161,0.47016045842928883,0,0
0.48394447888378234,0.47016045842928883,1,0
0.4941575976796567,0.48133594923573475,1,0
0.7374234074827338,0.48133594923573475,0,0
0.7026508545210673,0.49468082379044237,0,0
0.7286281373453821,0.447600608695844,0,0
0.7427183476791088,0.49394257106693185,0,0
0.4990049770564648,0.49394257106693185,1,0
0.4681018076719736,0.536518877277131,1,0
0.5081030193462833,0.555930447375873,1,1
0.5395734641046428,0.575574147694427,1,1
0.5049831981662518,0.6046466434677784,1,1
0.6720334049650688,0.6046466434677784,0,1
0.6264533799080119,0.645877169671946,0,1
0.5874836707781913,0.6559735095737358,0,0
0.6365998956412706,0.6183777133811394,0,0
0.659216199391626,0.581084385953849,0,0
0.638977412145603,0.5961254361020205,0,0
0.4243153864248575,0.5961254361020205,1,0
0.4130355431254185,0.569708058444681,1,0
0.45813964669752505,0.6099196510615313,1,1
0.4199483519304609,0.6581667557204579,1,1
0.4279577320864756,0.7011367245837262,1,1
0.39311432648095546,0.6681066207188373,1,1
0.6322154248513835,0.6681066207188373,0,1
0.607752406753677,0.6209198773521996,0,1
0.6115609277066064,0.6034304693681164,0,0
0.5875957226439787,0.574815564899833,0,0
0.5904936525555219,0.5762207209268955,0,0
0.5612174637431862,0.557139658350904,1,0
0.5115924788120076,0.5365203202548773,1,0
0.5065555579613261,0.5861126269299541,1,1
0.5545161283474306,0.5650508665786066,1,1
0.5539044876466848,0.5362872714129769,1,1
0.5853225351474038,0.530145694579751,1,1
0.634377119828161,0.5617693092758906,0,1
0.682718737357929,0.5823129549722851,0,1
0.6896539083397701,0.6314537781967345,0,0
0.7163811124106518,0.6107542883786184,0,0
0.6905103653080438,0.623542766020351,0,0
0.7008565255381423,0.6294537641522858,0,0
0.7378962923131539,0.6607882868372216,0,0
0.7319037864087721,0.6403385351860831,0,0
0.3940263932566447,0.6403385351860831,1,0
0.4420884648915208,0.6110529798744018,1,0
0.43902519919807337,0.6165580945421606,1,1
0.6626291349531841,0.6165580945421606,0,1
0.657915664324577,0.6491335687674756,0,1
0.663101043579882,0.676274661035424,0,0
0.7055143138323395,0.7033388983219679,0,0
0.6999629861714916,0.715207482869438,0,0
0.6982053715535916,0.740619249835119,0,0
0.7425367710990505,0.7433328207217267,0,0
0.7401941860453826,0.7388472296024278,0,0
0.33418646813327907,0.7388472296024278,1,0
0.35295163733336904,0.7240473736255303,1,0
0.3601041090035445,0.7011799233845128,1,1
0.3868883414399368,0.715278307370641,1,1
0.40350872926973297,0.6764022137758788,1,1
0.43627206958122705,0.7202913735368162,1,1
0.44938756501001653,0.7061133281258887,1,1
0.5767609055862155,0.7061133281258887,0,1
0.6263003169421212,0.7083285600180945,0,1
0.3318443076680293,0.7083285600180945,1,1
0.2826184691825506,0.6815454152628472,1,1
0.26887882454367723,0.7003876720425455,1,1
0.29617815807065345,0.7158571573658544,1,1
0.2644254218385474,0.7116422078959488,1,1
0.21772984542017051,0.6968950072988631,1,1
0.19013420146867097,0.7256840991856872,1,1
0.20025162966077364,0.7657292090134824,1,1
0.1685136806742643,0.8075807374973034,1,1
0.15282869730228787,0.8044993093865903,1,1
0.5375593750287497,0.8044993093865903,0,1
0.5368731035629402,0.772219215986501,0,1
0.5004157400260334,0.7569260581707702,0,0
0.4544231094724713,0.7882226549364251,0,0
0.48461900321468904,0.8360913556256544,0,0
0.48902598460233265,0.8230209072118334,0,0
0.4760283507467047,0.8255929517399107,0,0
0.4798231253247757,0.8379449233877374,0,0
0.5250252577191917,0.8608620785654173,0,0
0.5043751360915799,0.8998228886308283,0,0
0.2091874446419919,0.8998228886308283,1,0
0.18641018377342478,0.8687987156391126,1,0
0.5040138054550569,0.8687987156391126,0,0
0.5017253669271552,0.895751128877639,0,0
0.5334323360124403,0.9340943284406774,0,0
0.5103742785303537,0.8882709726286262,0,0
0.5029156231882169,0.8616763864009811,0,0
0.2344634635678514,0.8616763864009811,1,0
0.24280702232971701,0.8743041481286923,1,0
0.25853220959457346,0.8252555214990305,1,1
0.28230479897030814,0.8712681031448029,1,1
0.23374000914420318,0.8228875415113014,1,1
0.2245000428614354,0.7949841506185517,1,1
0.17960435110765102,0.7836231734177591,1,1
0.5314904847684476,0.7836231734177591,0,1
0.4819260211147785,0.7635718159636502,0,1
0.4627765292970468,0.7775350229894145,0,0
0.44462172945615425,0.7875147076016941,0,0
0.30361966034729504,0.7875147076016941,1,0
0.33282951865349525,0.7511303741507667,1,0
0.36983938196841926,0.7044204241287788,1,1
0.35966882160333846,0.7448182649986723,1,1
0.5756475577893859,0.7448182649986723,0,1
0.5974014438515959,0.7438673465093358,0,1
0.6353150247363158,0.762914319993748,0,0
0.6485265830085182,0.7477797554645912,0,0
0.6893238138622686,0.7005069134371779,0,0
0.7162764001174566,0.655032375316093,0,0
0.6723628793687066,0.6340914692182061,0,0
0.6853521127430524,0.58815094919767,0,0
0.7090569541227727,0.5632084430629013,0,0
0.45569208770335745,0.5632084430629013,1,0
0.4621192480819744,0.5581919149736281,1,0
0.44675193374900474,0.605873613301434,1,1
0.4107807834723568,0.60186632067902,1,1
0.37134041996192363,0.5611159644153572,1,1
0.6849453753649435,0.5611159644153572,0,1
0.7179203472895813,0.606378396170096,0,1
0.7055130066326447,0.6055289341882061,0,0
0.6886984648600574,0.594828813649654,0,0
0.6865421556809943,0.5927789397371906,0,0
0.7154490618184498,0.5727165739191443,0,0
0.42819708570864695,0.5727165739191443,1,0
0.4539213846976024,0.5868758535729472,1,0
0.681149523423248,0.5868758535729472,0,0
0.6751413109110695,0.5484572070557322,0,0
0.4695937040401895,0.5484572070557322,1,1
0.44632555472559804,0.5886258985564186,1,1
0.4389414355901754,0.5900012984451498,1,1
0.4536215554669742,0.5763028870667721,1,1
0.4688451363355709,0.6235184208338445,1,1
0.43835206240290864,0.6133273729635277,1,1
0.48389848515157635,0.5693620603206302,1,1
0.5159774338396658,0.5891956149495103,1,1
0.5417781982581945,0.5500246735028971,1,1
0.49862321054378655,0.5667099811996807,1,1
0.7044186772005774,0.5667099811996807,0,1
0.6878000283051129,0.5214578397069074,0,1
0.6856637987929158,0.5390357327453275,0,0
0.6930796868301473,0.5199124143130917,0,0
0.7308145910040486,0.5252212951815719,0,0
0.6813311945789002,0.49848183648982847,0,0
0.5097086822720748,0.49848183648982847,1,0
0.5575704495020257,0.46347742460458036,1,0
0.5762412582620633,0.4401649972693171,1,1
0.7683138328132567,0.4401649972693171,0,1
0.7528651479438151,0.4580292092163263,0,1
0.7042065354845392,0.4126927185051377,0,0
0.7026908693433949,0.41052799571676973,0,0
0.7174516445639224,0.4286068473193328,0,0
0.7336626292839089,0.4761783513614331,0,0
0.6935879567145655,0.49239109751944593,0,0
0.6907704100082739,0.5173159607354425,0,0
0.6480547422549503,0.49533562681381427,0,0
0.6465844896190229,0.47430848209334175,0,0
0.4830962894178681,0.47430848209334175,1,0
0.4755592598453936,0.48323939328244764,1,0
0.5036633265869708,0.5176823235192953,1,1
0.5288091518461155,0.47076202552567703,1,1
0.5649933599303196,0.448377025062669,1,1
0.6046845572331763,0.43411173876334036,1,1
0.7952500186704848,0.43411173876334036,0,1
0.7889824314208684,0.4283821010099655,0,1
0.827021835612794,0.4680443139474203,0,0
0.8151096653790543,0.44188722570456906,0,0
0.5057702335161939,0.44188722570456906,1,0
0.46168722954675245,0.476045501135103,1,0
0.5017011470067341,0.5027353752433348,1,1
0.7221003128808439,0.5027353752433348,0,1
0.7704881740924452,0.4966849179451314,0,1
0.7530789983983603,0.47315826391426286,0,0
0.7738684220712783,0.5074520567525844,0,0
0.7739606778388198,0.5546084185507035,0,0
0.7449896221442894,0.559381571428195,0,0
0.740973738088373,0.5551806829200785,0,0
0.7319834158941282,0.5903244094482176,0,0
0.7182501905763325,0.5773225552484489,0,0
0.4301249347830399,0.5773225552484489,1,0
0.44519612796234503,0.5385910181217297,1,0
0.4064689124817161,0.547683048714929,1,1
0.4223468252598011,0.5076153033023043,1,1
0.44278385695938316,0.5559043298297203,1,1
0.41650702387249194,0.573853911580147,1,1
0.4594877442660713,0.5643693200739067,1,1
0.6793283403004652,0.5643693200739067,0,1
0.6448444398279223,0.5241102193543971,0,1
0.45013110073855456,0.5241102193543971,1,1
0.4921056170302762,0.5014606016360392,1,1
0.5037995120460548,0.5448059267374846,1,1
0.5456638519492505,0.5331966676442129,1,1
0.5351364142701562,0.5812322896673547,1,1
0.5123682154376674,0.5959260253866048,1,1
0.4658991710733529,0.636491597282714,1,1
0.48310670095977837,0.5876797652156419,1,1
0.5027920235422748,0.6292955944280574,1,1
0.5291015431193226,0.6401149262227509,0,1
0.47977112164152613,0.6011181623647468,1,1
0.47516244705828753,0.6386635513464372,1,1
0.5119308497311605,0.5928007814686826,1,1
0.5429520785050165,0.5942971245939951,0,1
0.5509106179547689,0.5831525835154033,0,1
0.5254754936473504,0.5542161791078605,1,1
0.5448943694718256,0.5295805536533712,1,1
0.5118615381539641,0.5032748186298474,1,1
0.4930505109453369,0.47912245695901584,1,1
0.4859125051658183,0.49911938199295447,1,1
0.46579818759847935,0.46104505038520016,1,1
0.4223795616853874,0.5006984757513122,1,1
0.43166944598873613,0.5275631806185869,1,1
0.4779011268708728,0.5057701428621508,1,1
0.4572662984497372,0.47628898802846287,1,1
0.7525292348459189,0.47628898802846287,0,1
0.7558690367790223,0.46810669412121336,0,1
0.7357633305810729,0.4251887164799945,0,0
0.7362866268870081,0.40186391131638793,0,0
0.740887850942969,0.4044511849296055,0,0
0.7568472318735612,0.4221474174239951,0,0
0.7586611379713908,0.45715134935993695,0,0
0.7742959214905852,0.4591136591784954,0,0
0.7547282217112197,0.42632376314314674,0,0
0.5483285534746062,0.42632376314314674,1,0
0.5503672567246898,0.4477653096538372,1,0
0.7697679608613576,0.4477653096538372,0,0
0.7241517339158884,0.48547846372795445,0,0
0.7375412356416801,0.5292489008139182,0,0
0.7830761537750515,0.5171518690766018,0,0
0.7610381316784153,0.5431404050611374,0,0
0.723927003841025,0.5793559728002535,0,0
0.6976970647690721,0.5820069416478988,0,0
0.7412042723303217,0.5358745016195933,0,0
0.7197958506632195,0.48915599830434686,0,0
0.4792483372905777,0.48915599830434686,1,0
0.45255556900340776,0.4867456103679316,1,0
0.47685203738285054,0.4664807821876575,1,1
0.5112276022165599,0.4915897647375722,1,1
0.5159223288874947,0.4501653985207565,1,1
0.49897627960836455,0.4179927419927283,1,1
0.5019678536263034,0.40747659868874686,1,1
0.4943467693529879,0.42815804391692147,1,1
0.5227798308012693,0.40312315089789347,1,1
0.8258171168549703,0.40312315089789347,0,1
0.8745203215875794,0.38454049296740767,0,1
0.8768666750466764,0.4030039188731723,0,0
0.5466180552069764,0.4030039188731723,1,0
