RH,T_d,w_s,w_d,target,task
-0.8780487804878048,0.1805555555555555,0.1428571428571428,-1.333082706766917,1,1
-0.8780487804878048,0.1388888888888889,0.5714285714285713,0.6526315789473683,1,1
-0.9268292682926828,0.1111111111111111,0.3571428571428571,-1.2984962406015037,1,1
-0.9756097560975608,0.125,0.4285714285714286,-0.875187969924812,1,1
-0.9268292682926828,0.1388888888888889,0.1428571428571428,-1.3473684210526315,1,1
-0.9512195121951218,0.1111111111111111,-0.0714285714285715,-1.2902255639097744,1,1
-0.9268292682926828,0.1805555555555555,-0.2857142857142858,-1.1849624060150377,1,1
-0.9024390243902438,0.2083333333333333,-0.5000000000000001,-0.3165413533834586,1,1
-0.8780487804878048,0.1805555555555555,-0.4285714285714286,0.52406015037594,1,1
-0.7560975609756095,0.2638888888888889,-0.7142857142857143,-0.444360902255639,1,1
-0.7073170731707316,0.2638888888888889,-0.5714285714285715,-0.7293233082706767,0,1
-0.6829268292682925,0.2083333333333333,-0.7142857142857143,-1.588721804511278,0,1
-0.6097560975609754,0.2361111111111111,-0.642857142857143,0.5563909774436092,0,1
-0.6097560975609754,0.3194444444444445,-0.5000000000000001,0.38796992481203,1,1
-0.5853658536585364,0.3472222222222222,-0.642857142857143,-0.8037593984962406,1,1
-0.5365853658536585,0.375,-0.642857142857143,-0.1458646616541354,0,1
-0.4878048780487803,0.4722222222222222,-0.642857142857143,0.5879699248120303,0,1
-0.4634146341463413,0.5694444444444444,-0.3571428571428571,0.5390977443609024,1,1
-0.3902439024390243,0.638888888888889,-0.4285714285714286,-0.3571428571428571,0,1
-0.2439024390243901,0.6666666666666667,-0.642857142857143,0.3947368421052634,0,1
-0.170731707317073,0.7222222222222222,-0.7142857142857143,-0.8473684210526315,0,1
-0.0731707317073168,0.861111111111111,-0.642857142857143,-0.0526315789473684,0,1
-0.0731707317073168,1.013888888888889,-0.7857142857142858,-0.4834586466165412,1,1
-0.146341463414634,1.027777777777778,-0.642857142857143,0.0330827067669173,1,1
-0.3902439024390243,0.9722222222222224,-0.5714285714285715,-0.7248120300751879,1,1
-0.4390243902439023,1.0,-0.0714285714285715,-1.3533834586466165,1,1
-0.4390243902439023,1.125,0.1428571428571428,-1.1706766917293232,1,1
-0.5365853658536585,0.9444444444444446,0.2857142857142856,-0.775187969924812,1,1
-0.5365853658536585,0.8333333333333334,-0.2857142857142858,-0.937593984962406,1,1
-0.6585365853658535,0.5416666666666667,0.3571428571428571,-1.5654135338345865,1,1
-0.7317073170731705,0.4166666666666667,0.2142857142857141,1.032330827067669,1,1
-0.7560975609756095,0.3611111111111111,-0.0714285714285715,0.762406015037594,1,1
-0.6585365853658535,0.4305555555555555,-0.4285714285714286,0.5954887218045114,1,1
-0.6097560975609754,0.3888888888888889,-0.4285714285714286,0.6142857142857144,1,1
-0.3902439024390243,0.4444444444444445,-0.642857142857143,0.9300751879699248,0,1
-0.2195121951219511,0.4583333333333333,-0.7142857142857143,0.9308270676691728,0,1
-0.146341463414634,0.4722222222222222,-0.7142857142857143,-1.5609022556390977,0,1
-0.0487804878048778,0.638888888888889,-0.5714285714285715,-1.1473684210526316,1,1
0.0731707317073171,1.152777777777778,0.7142857142857143,0.2729323308270677,1,1
0.0,1.0833333333333337,-0.2142857142857143,-1.6082706766917294,1,1
0.0,0.9444444444444446,-0.5000000000000001,0.5669172932330827,1,1
0.0975609756097561,1.0,-0.4285714285714286,0.3774436090225565,1,1
0.2195121951219514,1.0416666666666667,-0.2857142857142858,0.5556390977443609,1,1
0.3170731707317073,1.0555555555555556,-0.4285714285714286,0.1157894736842105,0,1
0.4146341463414635,1.0416666666666667,-0.642857142857143,-1.5428571428571427,0,1
0.5365853658536587,0.9722222222222224,-0.7142857142857143,0.2451127819548871,0,1
0.4146341463414635,1.0555555555555556,-0.7857142857142858,-0.8812030075187969,1,1
-0.024390243902439,1.263888888888889,-0.4285714285714286,-1.6,1,1
-0.3170731707317071,1.0555555555555556,0.3571428571428571,-0.9736842105263158,1,1
-0.3414634146341462,1.0694444444444444,0.9285714285714284,-1.574436090225564,1,1
-0.4146341463414633,1.0555555555555556,0.7857142857142858,-0.4112781954887217,1,1
-0.4634146341463413,1.0694444444444444,0.857142857142857,-0.6684210526315789,1,1
-0.4634146341463413,1.0416666666666667,0.9285714285714284,-1.089473684210526,1,1
-0.5365853658536585,0.9166666666666669,1.2142857142857142,-0.5172932330827067,1,1
-0.5853658536585364,0.8888888888888891,0.4285714285714286,-1.0421052631578946,1,1
-0.5853658536585364,0.8333333333333334,0.2857142857142856,-0.9082706766917292,1,1
-0.6097560975609754,0.6250000000000001,0.2857142857142856,0.037593984962406,1,1
-0.4634146341463413,0.7361111111111112,0.0,0.6609022556390978,1,1
-0.2439024390243901,0.7777777777777778,-0.5000000000000001,0.3992481203007518,0,1
-0.0487804878048778,0.7083333333333334,-0.5714285714285715,0.6593984962406017,0,1
0.048780487804878,0.7083333333333334,-0.7142857142857143,-1.5473684210526315,0,1
0.0975609756097561,0.7361111111111112,-0.5714285714285715,-0.2909774436090224,0,1
0.1219512195121952,0.7500000000000001,-0.642857142857143,-0.9345864661654136,0,1
0.1219512195121952,0.7222222222222222,-0.7857142857142858,0.2789473684210526,0,1
0.1707317073170733,0.7222222222222222,-0.7142857142857143,-1.5097744360902254,0,1
0.1951219512195123,0.7361111111111112,-0.7857142857142858,-0.6902255639097744,0,1
0.2195121951219514,0.7777777777777778,-0.7142857142857143,-1.4781954887218045,1,1
0.2439024390243904,0.7916666666666666,-0.7142857142857143,0.5007518796992481,0,1
0.2926829268292683,0.8055555555555557,-0.642857142857143,0.0120300751879698,0,1
0.3170731707317073,0.8194444444444445,-0.642857142857143,0.9849624060150378,0,1
0.1463414634146342,0.9166666666666669,-0.7142857142857143,-0.9571428571428572,1,1
-0.2926829268292681,1.0555555555555556,-0.642857142857143,-0.5451127819548872,1,1
-0.4390243902439023,1.0833333333333337,0.0,-1.3714285714285714,1,1
-0.5365853658536585,0.9861111111111112,0.2857142857142856,-1.5458646616541354,1,1
-0.6585365853658535,0.861111111111111,0.1428571428571428,0.5917293233082708,1,1
-0.6097560975609754,0.8333333333333334,0.2142857142857141,-0.550375939849624,1,1
-0.6341463414634144,0.7916666666666666,0.1428571428571428,-0.6744360902255638,1,1
-0.146341463414634,1.3750000000000002,0.4285714285714286,0.2278195488721805,1,1
-0.4634146341463413,1.152777777777778,0.0,-0.1203007518796992,1,1
-0.4634146341463413,1.1111111111111112,-0.2857142857142858,0.4917293233082707,1,1
-0.4634146341463413,0.8750000000000002,-0.142857142857143,0.2105263157894736,1,1
-0.4146341463414633,0.861111111111111,-0.0714285714285715,0.2360902255639098,1,1
-0.170731707317073,0.8888888888888891,-0.642857142857143,0.2954887218045113,0,1
-0.0487804878048778,0.8333333333333334,-0.642857142857143,0.8864661654135338,0,1
-0.0487804878048778,0.7916666666666666,-0.5714285714285715,-1.5142857142857142,0,1
-0.0731707317073168,0.8055555555555557,-0.642857142857143,0.9165413533834588,1,1
-0.1219512195121949,0.7500000000000001,-0.5714285714285715,0.9082706766917292,1,1
-0.0731707317073168,0.6805555555555557,-0.5714285714285715,-1.5210526315789472,0,1
-0.024390243902439,0.6944444444444445,-0.642857142857143,0.7684210526315791,0,1
0.0,0.638888888888889,-0.7142857142857143,-1.0601503759398496,0,1
0.048780487804878,0.638888888888889,-0.7142857142857143,0.4684210526315788,0,1
0.0731707317073171,0.6527777777777778,-0.642857142857143,0.47593984962406,0,1
0.0975609756097561,0.6527777777777778,-0.7142857142857143,0.9834586466165413,0,1
0.1463414634146342,0.6944444444444445,-0.642857142857143,0.4804511278195489,0,1
0.048780487804878,0.8055555555555557,-0.7857142857142858,-1.0796992481203007,1,1
-0.3902439024390243,0.9305555555555556,-0.642857142857143,-0.8917293233082706,1,1
-0.6097560975609754,0.8194444444444445,0.0,-0.9864661654135336,1,1
-0.6097560975609754,0.8888888888888891,0.1428571428571428,-1.1849624060150377,1,1
-0.6585365853658535,0.8750000000000002,0.2142857142857141,0.7804511278195487,1,1
-0.6829268292682925,0.8333333333333334,0.2142857142857141,-1.2571428571428571,1,1
-0.6829268292682925,0.861111111111111,0.1428571428571428,-0.9894736842105264,1,1
-0.6829268292682925,0.8194444444444445,0.1428571428571428,-1.5984962406015035,1,1
-0.6829268292682925,0.7916666666666666,-0.2142857142857143,-0.5203007518796992,1,1
-0.6341463414634144,0.861111111111111,-0.2857142857142858,-1.5766917293233085,1,1
-0.5609756097560975,0.8472222222222222,-0.4285714285714286,0.5857142857142857,1,1
-0.3902439024390243,0.8472222222222222,-0.7142857142857143,-1.3172932330827067,0,1
-0.2439024390243901,0.8194444444444445,-0.7857142857142858,0.1894736842105264,0,1
